cut off: adjusted p-value<0.05 und absolute log2FC>1						
Gene ID	Average read counts per gene across all replicates	log2(FC)	P-value	P-adj	Gene symbol	Gene name
ENSG00000065923	1877.126973	1.530927234	9.23E-28	2.18E-25	SLC9A7	solute carrier family 9 member A7
ENSG00000183696	1671.010517	2.566930534	1.49E-27	3.47E-25	UPP1	uridine phosphorylase 1
ENSG00000223784	212.571592	2.874624019	4.39E-27	1.01E-24	LINP1	lncRNA in non-homologous end joining pathway 1
ENSG00000074416	1006.387671	2.693816	1.05E-26	2.39E-24	MGLL	monoglyceride lipase
ENSG00000006062	692.3694391	1.799215124	3.94E-26	8.82E-24	MAP3K14	mitogen-activated protein kinase kinase kinase 14
ENSG00000170485	755.7581416	1.924139427	4.81E-26	1.06E-23	NPAS2	neuronal PAS domain protein 2
ENSG00000174028	650.1741468	1.329201249	7.20E-26	1.57E-23	FAM3C2	family with sequence similarity 3 member C2, pseudogene
ENSG00000138347	280.5996088	2.750622299	1.22E-25	2.63E-23	MYPN	myopalladin
ENSG00000150782	4159.70217	1.971550743	2.11E-25	4.49E-23	IL18	interleukin 18
ENSG00000168916	139.1947006	2.746021826	2.66E-25	5.59E-23	ZNF608	zinc finger protein 608
ENSG00000080822	3557.346163	-1.314247213	2.89E-24	6.00E-22	CLDND1	claudin domain containing 1
ENSG00000163975	1433.793592	1.841947041	3.81E-24	7.83E-22	MELTF	melanotransferrin
ENSG00000279806	28.75485378	-3.561767725	1.07E-23	2.15E-21	RP11-58O9.2	
ENSG00000019186	683.027578	-3.658314069	1.58E-23	3.12E-21	CYP24A1	cytochrome P450 family 24 subfamily A member 1
ENSG00000112297	1480.168648	1.490107137	3.54E-23	6.93E-21	AIM1	crystallin beta-gamma domain containing 1
ENSG00000018408	2119.997098	1.108817628	4.60E-23	8.90E-21	WWTR1	WW domain containing transcription regulator 1
ENSG00000167996	21075.80763	1.580072164	6.26E-23	1.20E-20	FTH1	ferritin heavy chain 1
ENSG00000003436	1151.203326	1.896367888	6.77E-23	1.28E-20	TFPI	tissue factor pathway inhibitor
ENSG00000187867	112.6286331	-2.386328243	1.05E-22	1.94E-20	PALM3	paralemmin 3
ENSG00000175592	9239.774831	1.644341723	1.46E-22	2.67E-20	FOSL1	FOS like 1, AP-1 transcription factor subunit
ENSG00000076356	67.14053309	2.654978045	3.00E-22	5.45E-20	PLXNA2	plexin A2
ENSG00000105997	179.6602555	2.467160638	4.60E-22	8.27E-20	HOXA3	homeobox A3
ENSG00000140950	1388.828271	1.482423026	7.32E-22	1.30E-19	TLDC1	MTOR associated protein, eak-7 homolog
ENSG00000134531	5361.952614	2.196131493	8.25E-22	1.45E-19	EMP1	epithelial membrane protein 1
ENSG00000115844	99.97778345	-2.1864546	1.26E-21	2.19E-19	DLX2	distal-less homeobox 2
ENSG00000133466	383.2030206	2.033694761	1.41E-21	2.43E-19	C1QTNF6	C1q and TNF related 6
ENSG00000118257	95.69997244	2.526127262	1.57E-21	2.69E-19	NRP2	neuropilin 2
ENSG00000142910	2115.634966	1.780189538	1.93E-21	3.27E-19	TINAGL1	tubulointerstitial nephritis antigen like 1
ENSG00000251361	49.20904835	-2.93244336	2.38E-21	3.99E-19	CTD-2091N23.1	
ENSG00000156500	89.17730531	-2.075483902	4.89E-21	8.11E-19	FAM122C	PABIR family member 3
ENSG00000196700	795.3590313	1.253898696	1.04E-20	1.70E-18	ZNF512B	zinc finger protein 512B
ENSG00000151693	610.9905704	1.559361465	1.37E-20	2.22E-18	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2
ENSG00000179913	957.055109	1.827867861	2.73E-20	4.39E-18	B3GNT3	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3
ENSG00000117394	5988.499182	-1.632536015	2.97E-20	4.74E-18	SLC2A1	solute carrier family 2 member 1
ENSG00000105255	476.3352656	-2.076275141	8.07E-20	1.28E-17	FSD1	fibronectin type III and SPRY domain containing 1
ENSG00000171132	391.156597	1.369409295	1.14E-19	1.79E-17	PRKCE	protein kinase C epsilon
ENSG00000171877	1002.844067	-1.683478027	1.36E-19	2.12E-17	FRMD5	FERM domain containing 5
ENSG00000246363	22.75833339	-3.265314306	1.46E-19	2.25E-17	RP11-13A1.1	
ENSG00000023839	3308.121788	-1.954363476	1.66E-19	2.54E-17	ABCC2	ATP binding cassette subfamily C member 2
ENSG00000196782	70.79558879	2.618392468	2.56E-19	3.86E-17	MAML3	mastermind like transcriptional coactivator 3
ENSG00000008513	923.4704511	1.046707202	3.06E-19	4.59E-17	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
ENSG00000005884	17085.83594	1.820240637	3.20E-19	4.76E-17	ITGA3	integrin subunit alpha 3
ENSG00000006453	2556.039407	1.05742787	3.29E-19	4.86E-17	BAIAP2L1	BAR/IMD domain containing adaptor protein 2 like 1
ENSG00000187653	77.54491825	2.560707926	3.66E-19	5.35E-17	TMSB4XP8	TMSB4X pseudogene 8
ENSG00000235884	185.7186918	1.739441343	7.45E-19	1.08E-16	LINC00941	long intergenic non-protein coding RNA 941
ENSG00000197580	146.5972679	2.138813017	7.69E-19	1.10E-16	BCO2	beta-carotene oxygenase 2
ENSG00000184349	72.08744372	3.071187027	9.60E-19	1.37E-16	EFNA5	ephrin A5
ENSG00000164002	25.17331379	-3.216630668	1.18E-18	1.67E-16	EXO5	exonuclease 5
ENSG00000125398	2383.758433	1.35429402	1.20E-18	1.68E-16	SOX9	SRY-box transcription factor 9
ENSG00000198945	1079.464801	-1.386123655	2.77E-18	3.85E-16	L3MBTL3	L3MBTL histone methyl-lysine binding protein 3
ENSG00000128564	804.1619013	1.939338067	3.97E-18	5.47E-16	VGF	VGF nerve growth factor inducible
ENSG00000188064	547.1730409	1.701229681	4.58E-18	6.27E-16	WNT7B	Wnt family member 7B
ENSG00000138814	2745.819519	-1.449370866	5.66E-18	7.63E-16	PPP3CA	protein phosphatase 3 catalytic subunit alpha
ENSG00000110315	3313.554583	-1.414707622	5.66E-18	7.63E-16	RNF141	ring finger protein 141
ENSG00000089327	3784.4554	1.830801474	6.18E-18	8.25E-16	FXYD5	FXYD domain containing ion transport regulator 5
ENSG00000142494	28.96764935	2.854298045	6.55E-18	8.68E-16	SLC47A1	solute carrier family 47 member 1
ENSG00000088280	320.6907371	-1.273698078	6.91E-18	9.09E-16	ASAP3	ArfGAP with SH3 domain, ankyrin repeat and PH domain 3
ENSG00000258077	136.454998	-2.066283334	1.08E-17	1.41E-15	RP11-114H23.1	
ENSG00000236333	58.07368142	2.774264781	1.11E-17	1.44E-15	TRHDE-AS1	TRHDE antisense RNA 1
ENSG00000116016	1943.09544	1.39494525	1.20E-17	1.54E-15	EPAS1	endothelial PAS domain protein 1
ENSG00000196781	1119.789457	1.207758219	1.44E-17	1.84E-15	TLE1	TLE family member 1, transcriptional corepressor
ENSG00000148737	2818.398531	-1.486853806	1.63E-17	2.07E-15	TCF7L2	transcription factor 7 like 2
ENSG00000124766	1939.79457	-2.01136998	1.87E-17	2.35E-15	SOX4	SRY-box transcription factor 4
ENSG00000124145	3389.372476	1.112094189	2.50E-17	3.13E-15	SDC4	syndecan 4
ENSG00000196878	3643.478629	1.489081951	4.02E-17	4.99E-15	LAMB3	laminin subunit beta 3
ENSG00000158201	1808.377401	1.134747477	4.79E-17	5.90E-15	ABHD3	abhydrolase domain containing 3, phospholipase
ENSG00000005020	1216.268633	1.579214183	4.86E-17	5.95E-15	SKAP2	src kinase associated phosphoprotein 2
ENSG00000172164	194.3151691	2.014372672	5.40E-17	6.56E-15	SNTB1	syntrophin beta 1
ENSG00000150687	370.6006471	2.149054495	6.54E-17	7.88E-15	PRSS23	serine protease 23
ENSG00000113580	956.3845636	1.707214697	9.92E-17	1.19E-14	NR3C1	nuclear receptor subfamily 3 group C member 1
ENSG00000071242	174.4643993	1.820082254	1.13E-16	1.34E-14	RPS6KA2	ribosomal protein S6 kinase A2
ENSG00000148634	4383.905343	1.998074841	1.28E-16	1.51E-14	HERC4	HECT and RLD domain containing E3 ubiquitin protein ligase 4
ENSG00000185033	2270.261018	1.5718211	1.38E-16	1.62E-14	SEMA4B	semaphorin 4B
ENSG00000173599	596.5939274	1.864118619	1.52E-16	1.77E-14	PC	pyruvate carboxylase
ENSG00000256915	40.47936184	-2.557319824	1.60E-16	1.85E-14	RP11-221N13.4	
ENSG00000002079	140.3601243	2.388202187	2.29E-16	2.64E-14	MYH16	myosin heavy chain 16 pseudogene
ENSG00000109680	248.399745	-1.349008611	3.02E-16	3.45E-14	TBC1D19	TBC1 domain family member 19
ENSG00000091409	5385.389235	1.234801594	3.74E-16	4.21E-14	ITGA6	integrin subunit alpha 6
ENSG00000095739	261.7678836	-2.013390313	4.85E-16	5.43E-14	BAMBI	BMP and activin membrane bound inhibitor
ENSG00000179941	643.688659	-1.227362497	5.09E-16	5.66E-14	BBS10	Bardet-Biedl syndrome 10
ENSG00000198873	431.3958267	1.312370863	6.24E-16	6.89E-14	GRK5	G protein-coupled receptor kinase 5
ENSG00000003989	632.2285604	-1.616383061	6.64E-16	7.29E-14	SLC7A2	solute carrier family 7 member 2
ENSG00000103381	797.3752366	1.055607138	6.79E-16	7.41E-14	CPPED1	calcineurin like phosphoesterase domain containing 1
ENSG00000119927	1505.461498	-1.041128546	6.92E-16	7.51E-14	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial
ENSG00000090339	192.9769273	-1.719720452	7.99E-16	8.61E-14	ICAM1	intercellular adhesion molecule 1
ENSG00000175745	1322.759827	-1.860358998	9.48E-16	1.02E-13	NR2F1	nuclear receptor subfamily 2 group F member 1
ENSG00000059378	635.7719573	1.150930185	1.18E-15	1.25E-13	PARP12	poly(ADP-ribose) polymerase family member 12
ENSG00000167355	1203.882771	1.399751076	1.25E-15	1.33E-13	AC104389.28	
ENSG00000122359	7549.12826	1.082444841	1.47E-15	1.55E-13	ANXA11	annexin A11
ENSG00000048052	124.3985397	1.903333411	1.50E-15	1.57E-13	HDAC9	histone deacetylase 9
ENSG00000101665	151.1257835	-2.00221835	1.75E-15	1.82E-13	SMAD7	SMAD family member 7
ENSG00000039068	2486.181264	1.122240915	2.81E-15	2.88E-13	CDH1	cadherin 1
ENSG00000178057	1114.926757	1.101250292	4.04E-15	4.12E-13	NDUFAF3	NADH:ubiquinone oxidoreductase complex assembly factor 3
ENSG00000123095	148.367916	2.18593674	4.37E-15	4.43E-13	BHLHE41	basic helix-loop-helix family member e41
ENSG00000198363	18585.93706	1.182509185	5.32E-15	5.37E-13	ASPH	aspartate beta-hydroxylase
ENSG00000123080	447.1113951	1.209864828	5.43E-15	5.44E-13	CDKN2C	cyclin dependent kinase inhibitor 2C
ENSG00000175806	327.3921841	1.391630471	6.83E-15	6.80E-13	MSRA	methionine sulfoxide reductase A
ENSG00000166396	30.22789355	2.661514184	6.95E-15	6.89E-13	SERPINB7	serpin family B member 7
ENSG00000197747	6354.122624	-1.102988178	7.17E-15	7.06E-13	S100A10	S100 calcium binding protein A10
ENSG00000139508	81.23596527	1.945199503	7.56E-15	7.41E-13	SLC46A3	solute carrier family 46 member 3
ENSG00000053747	670.4122197	1.549449379	8.90E-15	8.67E-13	LAMA3	laminin subunit alpha 3
ENSG00000104833	553.3736293	-1.246488821	9.32E-15	9.03E-13	TUBB4A	tubulin beta 4A class IVa
ENSG00000157483	2350.416902	1.202176069	9.68E-15	9.33E-13	MYO1E	myosin IE
ENSG00000175130	2924.177439	-1.741454998	1.04E-14	9.96E-13	MARCKSL1	MARCKS like 1
ENSG00000204054	394.1354482	1.735524641	1.07E-14	1.02E-12	LINC00963	long intergenic non-protein coding RNA 963
ENSG00000135932	5414.048069	1.070523437	1.39E-14	1.32E-12	CAB39	calcium binding protein 39
ENSG00000153551	2460.204278	1.490642269	1.67E-14	1.57E-12	CMTM7	CKLF like MARVEL transmembrane domain containing 7
ENSG00000118898	3164.429888	1.483023473	2.41E-14	2.25E-12	PPL	periplakin
ENSG00000115267	458.1321597	1.163451176	3.03E-14	2.82E-12	IFIH1	interferon induced with helicase C domain 1
ENSG00000197444	197.1281715	-1.815262141	3.35E-14	3.10E-12	OGDHL	oxoglutarate dehydrogenase L
ENSG00000188042	337.7811615	1.261767382	3.51E-14	3.24E-12	ARL4C	ADP ribosylation factor like GTPase 4C
ENSG00000189060	10257.29504	-1.537844034	4.67E-14	4.29E-12	H1F0	H1.0 linker histone
ENSG00000138166	9108.874994	1.753332396	4.72E-14	4.30E-12	DUSP5	dual specificity phosphatase 5
ENSG00000105559	109.8231158	-2.084557576	4.76E-14	4.32E-12	PLEKHA4	pleckstrin homology domain containing A4
ENSG00000166886	815.3362181	-1.137754765	6.04E-14	5.42E-12	NAB2	NGFI-A binding protein 2
ENSG00000109586	1282.096077	1.37507245	6.95E-14	6.21E-12	GALNT7	polypeptide N-acetylgalactosaminyltransferase 7
ENSG00000143816	972.6662645	1.852307592	6.99E-14	6.22E-12	WNT9A	Wnt family member 9A
ENSG00000141655	159.2219931	1.55127099	7.41E-14	6.55E-12	TNFRSF11A	TNF receptor superfamily member 11a
ENSG00000177707	2414.06317	-2.567079912	1.04E-13	9.11E-12	NECTIN3	nectin cell adhesion molecule 3
ENSG00000273143	44.12943642	2.236127906	1.05E-13	9.16E-12	RP11-525A16.4	
ENSG00000160190	487.9322246	1.07789842	1.30E-13	1.12E-11	SLC37A1	solute carrier family 37 member 1
ENSG00000171124	51.86483126	2.444113345	1.39E-13	1.20E-11	FUT3	fucosyltransferase 3 (Lewis blood group)
ENSG00000104936	729.3232291	1.281475375	1.59E-13	1.37E-11	DMPK	DM1 protein kinase
ENSG00000137825	186.3599745	-1.539916954	1.63E-13	1.39E-11	ITPKA	inositol-trisphosphate 3-kinase A
ENSG00000103089	170.0749098	1.542433556	1.72E-13	1.46E-11	FA2H	fatty acid 2-hydroxylase
ENSG00000078018	270.5116183	1.871402035	1.80E-13	1.52E-11	MAP2	microtubule associated protein 2
ENSG00000127990	425.9952705	1.278092231	2.25E-13	1.89E-11	SGCE	sarcoglycan epsilon
ENSG00000180611	225.3872491	1.577645345	2.44E-13	2.04E-11	MB21D2	Mab-21 domain containing 2
ENSG00000260917	204.3121443	-1.25561793	2.79E-13	2.31E-11	RP11-57H14.4	
ENSG00000115738	2716.527766	-1.805125847	2.91E-13	2.39E-11	ID2	inhibitor of DNA binding 2
ENSG00000101986	206.3209055	1.347313584	3.59E-13	2.93E-11	ABCD1	ATP binding cassette subfamily D member 1
ENSG00000170955	428.3549242	1.542365103	4.07E-13	3.31E-11	PRKCDBP	caveolae associated protein 3
ENSG00000153814	167.5519216	1.356232897	4.11E-13	3.33E-11	JAZF1	JAZF zinc finger 1
ENSG00000170456	655.8868959	-1.571804086	4.38E-13	3.53E-11	DENND5B	DENN domain containing 5B
ENSG00000125378	3513.276288	-2.685538184	4.56E-13	3.66E-11	BMP4	bone morphogenetic protein 4
ENSG00000050405	6208.513443	1.213049615	5.11E-13	4.08E-11	LIMA1	LIM domain and actin binding 1
ENSG00000234975	807.8253364	1.560277892	5.84E-13	4.64E-11	FTH1P2	ferritin heavy chain 1 pseudogene 2
ENSG00000133639	869.5741065	1.160703945	5.88E-13	4.65E-11	BTG1	BTG anti-proliferation factor 1
ENSG00000183722	38.08072611	2.68283063	6.08E-13	4.79E-11	LHFP	LHFPL tetraspan subfamily member 6
ENSG00000120885	4115.26182	-1.328069693	6.48E-13	5.08E-11	CLU	clusterin
ENSG00000163513	906.7600872	-1.373370463	6.73E-13	5.20E-11	TGFBR2	transforming growth factor beta receptor 2
ENSG00000082438	256.7052196	1.481688775	7.51E-13	5.75E-11	COBLL1	cordon-bleu WH2 repeat protein like 1
ENSG00000088992	1118.479649	1.526190369	8.45E-13	6.45E-11	TESC	tescalcin
ENSG00000133985	167.1345451	1.412369973	1.28E-12	9.67E-11	TTC9	tetratricopeptide repeat domain 9
ENSG00000134470	291.6709858	1.415785313	1.34E-12	1.00E-10	IL15RA	interleukin 15 receptor subunit alpha
ENSG00000153993	209.3254215	2.602598694	1.36E-12	1.01E-10	SEMA3D	semaphorin 3D
ENSG00000154165	15.65317494	-2.637882687	1.85E-12	1.36E-10	GPR15	G protein-coupled receptor 15
ENSG00000226564	512.3347503	1.553380828	1.88E-12	1.38E-10	FTH1P20	ferritin heavy chain 1 pseudogene 20
ENSG00000256008	63.21307663	-1.869335507	1.94E-12	1.42E-10	RP11-728G15.1	
ENSG00000253368	1713.621928	1.650847747	2.11E-12	1.54E-10	TRNP1	TMF1 regulated nuclear protein 1
ENSG00000026508	19530.88772	1.159318464	2.17E-12	1.57E-10	CD44	CD44 molecule (Indian blood group)
ENSG00000165322	3790.76212	-1.274097905	2.27E-12	1.63E-10	ARHGAP12	Rho GTPase activating protein 12
ENSG00000139318	977.7869789	-1.098517073	2.74E-12	1.95E-10	DUSP6	dual specificity phosphatase 6
ENSG00000156453	829.3822557	1.587045945	3.26E-12	2.31E-10	PCDH1	protocadherin 1
ENSG00000114861	95.53283843	1.54507519	3.41E-12	2.40E-10	FOXP1	forkhead box P1
ENSG00000166311	253.1050709	1.329857007	3.72E-12	2.60E-10	SMPD1	sphingomyelin phosphodiesterase 1
ENSG00000258088	67.77328129	-1.836520065	3.79E-12	2.63E-10	RP11-114H23.2	
ENSG00000112379	376.5998125	1.266764839	4.24E-12	2.93E-10	ARFGEF3	ARFGEF family member 3
ENSG00000229152	212.0694873	1.630536663	5.15E-12	3.55E-10	ANKRD10-IT1	ANKRD10 intronic transcript 1
ENSG00000197971	1565.76442	1.265925305	5.47E-12	3.76E-10	MBP	myelin basic protein
ENSG00000119514	620.7104637	1.167358077	5.82E-12	3.99E-10	GALNT12	polypeptide N-acetylgalactosaminyltransferase 12
ENSG00000188641	70.24680028	2.169994044	5.97E-12	4.07E-10	DPYD	dihydropyrimidine dehydrogenase
ENSG00000099282	720.1355365	1.068835286	6.21E-12	4.21E-10	TSPAN15	tetraspanin 15
ENSG00000081913	920.6411503	1.726265309	6.81E-12	4.61E-10	PHLPP1	PH domain and leucine rich repeat protein phosphatase 1
ENSG00000110427	66.2299428	2.212400122	7.25E-12	4.88E-10	KIAA1549L	KIAA1549 like
ENSG00000197635	1854.961265	1.673425209	7.28E-12	4.88E-10	DPP4	dipeptidyl peptidase 4
ENSG00000179674	31.11938715	2.300750833	7.76E-12	5.19E-10	ARL14	ADP ribosylation factor like GTPase 14
ENSG00000089723	76.87485275	1.765909966	8.90E-12	5.88E-10	OTUB2	OTU deubiquitinase, ubiquitin aldehyde binding 2
ENSG00000152782	393.7517271	-1.146024599	1.04E-11	6.80E-10	PANK1	pantothenate kinase 1
ENSG00000232187	276.020258	1.548179975	1.05E-11	6.87E-10	FTH1P7	ferritin heavy chain 1 pseudogene 7
ENSG00000237264	242.5364647	1.590953428	1.13E-11	7.35E-10	FTH1P11	ferritin heavy chain 1 pseudogene 11
ENSG00000167549	368.8498092	1.537570405	1.22E-11	7.89E-10	CORO6	coronin 6
ENSG00000229835	56.82614285	-1.754702659	1.26E-11	8.16E-10	KHSRPP1	KH-type splicing regulatory protein pseudogene 1
ENSG00000120899	339.0851633	1.292234947	1.34E-11	8.63E-10	PTK2B	protein tyrosine kinase 2 beta
ENSG00000198729	965.3782345	1.415826669	1.37E-11	8.80E-10	PPP1R14C	protein phosphatase 1 regulatory inhibitor subunit 14C
ENSG00000169035	326.7942887	-1.45122565	1.48E-11	9.45E-10	KLK7	kallikrein related peptidase 7
ENSG00000219507	636.4330529	1.582942272	1.84E-11	1.17E-09	FTH1P8	ferritin heavy chain 1 pseudogene 8
ENSG00000054793	1287.33678	1.208045197	2.14E-11	1.35E-09	ATP9A	ATPase phospholipid transporting 9A (putative)
